Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Datetime,SMA_Close,Return
20,2023-08-22 00:00:00-04:00,323.65728950976444,324.233992680061,319.6401521357377,320.6344909667969,16102000,0.0,0.0,2023-08-22 00:00:00-04:00,324.0041030883789,-0.07931303143640223
21,2023-08-23 00:00:00-04:00,321.9868134530176,327.33636131725456,321.62883568797776,325.1488037109375,21166400,0.0,0.0,2023-08-23 00:00:00-04:00,323.50413208007814,-0.029835814286418016
22,2023-08-24 00:00:00-04:00,330.96572071411015,331.0949896308817,318.14867727139864,318.1586303710937,23281400,0.0,0.0,2023-08-24 00:00:00-04:00,323.0044143676758,-0.030456386857631412
23,2023-08-25 00:00:00-04:00,319.6500890238733,323.51805110123365,316.9951911278663,321.15155029296875,21684100,0.0,0.0,2023-08-25 00:00:00-04:00,322.2748138427734,-0.043461773216641686
24,2023-08-28 00:00:00-04:00,323.8163882937044,324.30360461198194,319.89869086049947,321.86749267578125,14808500,0.0,0.0,2023-08-28 00:00:00-04:00,321.702555847168,-0.034337610118450046
25,2023-08-29 00:00:00-04:00,320.0577805613344,327.11759217122443,320.0577805613344,326.5508117675781,19284600,0.0,0.0,2023-08-29 00:00:00-04:00,321.34362945556643,-0.021510029177068013
26,2023-08-30 00:00:00-04:00,326.80933410612903,327.94286451497976,324.60190084172416,326.9286499023437,15222100,0.0,0.0,2023-08-30 00:00:00-04:00,321.4421646118164,0.006064486634482336
27,2023-08-31 00:00:00-04:00,327.33636086660795,329.0366717999692,324.930047502972,325.9045104980469,26411000,0.0,0.0,2023-08-31 00:00:00-04:00,321.5311645507812,0.005491712952710559
28,2023-09-01 00:00:00-04:00,329.4343998254007,330.1105429562522,324.93004607796047,326.7994079589844,14931200,0.0,0.0,2023-09-01 00:00:00-04:00,321.6093460083008,0.004807678774206847
29,2023-09-05 00:00:00-04:00,327.13748299826364,332.95437136370003,326.7994114292479,331.6617126464844,18553900,0.0,0.0,2023-09-05 00:00:00-04:00,321.81504516601564,0.012559950150394794
30,2023-09-06 00:00:00-04:00,331.49271389342675,332.5665865749472,328.31081721256925,330.9955444335937,17535800,0.0,0.0,2023-09-06 00:00:00-04:00,322.1888626098633,0.023109444446068883
31,2023-09-07 00:00:00-04:00,329.4145203249188,331.19436498687946,327.1673048530642,328.0423278808594,18381000,0.0,0.0,2023-09-07 00:00:00-04:00,322.60453338623046,0.02600145062311987
