Country Name,Country Code,Series Name,Series Code,Year,Money
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2019,3860000000000.0
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,2019,67234292583.0
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,2019,205000000000.0
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,2019,1211403704.0
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,2019,6311000000.0
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,2019,77020015201.0
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,2019,13513809258.0
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,2019,1439638443.0
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,2019,5173759528.0
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,2019,14332163266.0
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,2019,25089976947.0
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,2019,363000000000.0
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,2019,164000000000.0
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,2019,24836714771.0
India,IND,GDP (current US$),NY.GDP.MKTP.CD,2019,2870000000000.0
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,2019,1120000000000.0
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,2019,258000000000.0
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,2019,222000000000.0
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,2019,399000000000.0
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2019,395000000000.0
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2019,2000000000000.0
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,2019,15830768550.0
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,2019,5060000000000.0
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,2019,44502895915.0
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,2019,182000000000.0
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,2019,95503088538.0
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,2019,194647201.9
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,2019,1650000000000.0
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,2019,7953156068.0
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,2019,136000000000.0
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,2019,8871019823.0
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,2019,18245925331.0
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,2019,34055464655.0
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,2019,51991634492.0
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2019,2366213069.0
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,2019,3070518100.0
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,2019,52091152228.0
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,2019,54639938780.0
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,2019,71104919108.0
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,2019,55153707949.0
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2019,14191911512.0
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,2019,10862613622.0
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,2019,365000000000.0
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,2019,5642179170.0
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,2019,17281815734.0
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,2019,15215714309.0
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,2019,239462200.0
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,2019,7600650038.0
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,2019,14046337855.0
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,2019,1270000000000.0
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,2019,408060600.0
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,2019,11968699006.0
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,2019,7423709840.0
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,2019,13996719329.0
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,2019,5542674765.0
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,2019,120000000000.0
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,2019,15291448212.0
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,2019,79844294296.0
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,2019,12565772085.0
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,2019,118223430.1
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,2019,34186180695.0
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,2019,907000000000.0
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,2019,209000000000.0
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,2019,12611218627.0
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,2019,12911689659.0
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,2019,448000000000.0
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,2019,12547086168.0
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,2019,1182000000.0
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,2019,406000000000.0
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,2019,76331518669.0
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,2019,278000000000.0
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,2019,268354900.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,2019,66787900000.0
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,2019,24829107011.0
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,2019,37906944075.0
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,2019,228000000000.0
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,2019,377000000000.0
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,2019,596000000000.0
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,2019,240000000000.0
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,2019,105000000000.0
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,2019,176000000000.0
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,2019,250000000000.0
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,2019,1690000000000.0
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,2019,10355974217.0
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,2019,852250191.0
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,2019,1616369646.0
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,2019,427425039.7
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,2019,793000000000.0
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,2019,23306213742.0
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,2019,51475016532.0
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,2019,1581380269.0
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,2019,4121733705.0
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,2019,374000000000.0
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,2019,105000000000.0
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,2019,54174227309.0
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,2019,1570215577.0
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,2019,4942319041.0
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,2019,351000000000.0
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,2019,1390000000000.0
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,2019,83975584254.0
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,2019,1044711111.0
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,2019,2122450630.0
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2019,824718518.5
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,2019,32250448249.0
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,2019,4221373022.0
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,2019,531000000000.0
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2019,731000000000.0
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,2019,8300784857.0
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,2019,61136873747.0
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,2019,544000000000.0
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,2019,2017924900.0
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2019,7220395248.0
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,2019,512350059.4
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,2019,23208326548.0
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,2019,39195716330.0
Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,2019,761000000000.0
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,2019,45231428571.0
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,2019,1197415000.0
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,2019,47271463.33
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,2019,35170037381.0
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,2019,154000000000.0
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,2019,421000000000.0
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2019,2830000000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2019,21400000000000.0
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,2019,61231149881.0
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,2019,57726542785.0
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,2019,930337960.0
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,2019,262000000000.0
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,2019,17133500000.0
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,2019,23308688906.0
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,2019,16932434839.0
