Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Datetime
2023-09-15 00:00:00-04:00,334.4099230549225,334.88632761750563,327.1940659518699,327.75982666015625,37666900,0.0,0.0,2023-09-15 00:00:00-04:00
2023-09-18 00:00:00-04:00,325.35783693717775,327.9384726704456,323.9285626938361,326.60845947265625,16834200,0.0,0.0,2023-09-18 00:00:00-04:00
2023-09-19 00:00:00-04:00,323.7400032851701,326.93601506692033,322.09236687194795,326.2015075683594,16505900,0.0,0.0,2023-09-19 00:00:00-04:00
2023-09-20 00:00:00-04:00,327.0550938252787,327.1344844814706,318.1221456379955,318.38018798828125,21436500,0.0,0.0,2023-09-20 00:00:00-04:00
2023-09-21 00:00:00-04:00,316.8814670316292,322.92609183504493,312.6531950814676,317.1494445800781,35529500,0.0,0.0,2023-09-21 00:00:00-04:00
2023-09-22 00:00:00-04:00,318.92611112009774,319.0551474413878,313.7946152923814,314.6482238769531,21447900,0.0,0.0,2023-09-22 00:00:00-04:00
2023-09-25 00:00:00-04:00,314.2313514209535,315.3033222148036,312.65320080410174,315.1742858886719,17836000,0.0,0.0,2023-09-25 00:00:00-04:00
2023-09-26 00:00:00-04:00,312.7822284176501,313.5266407797813,307.7102831060834,309.81451416015625,26297600,0.0,0.0,2023-09-26 00:00:00-04:00
2023-09-27 00:00:00-04:00,309.97331623944353,311.95841600476876,307.3827755849991,310.4596862792969,19410100,0.0,0.0,2023-09-27 00:00:00-04:00
2023-09-28 00:00:00-04:00,308.67309369189115,313.129663484384,307.1445886054108,311.3033752441406,19683600,0.0,0.0,2023-09-28 00:00:00-04:00
2023-09-29 00:00:00-04:00,315.3827132151793,317.08990016000627,312.6333610493002,313.3976135253906,24140300,0.0,0.0,2023-09-29 00:00:00-04:00
2023-10-02 00:00:00-04:00,313.92363264116847,319.4918524704728,312.83182186187213,319.4024963378906,20570000,0.0,0.0,2023-10-02 00:00:00-04:00
2023-10-03 00:00:00-04:00,318.4397491797491,318.99560495250626,308.8914246451359,311.0552062988281,21033500,0.0,0.0,2023-10-03 00:00:00-04:00
2023-10-04 00:00:00-04:00,311.69044594708276,317.6556805784102,311.6606706614946,316.5837097167969,20720100,0.0,0.0,2023-10-04 00:00:00-04:00
2023-10-05 00:00:00-04:00,316.7127048376248,317.59608867881946,312.55391884707683,316.9806823730469,16965600,0.0,0.0,2023-10-05 00:00:00-04:00
2023-10-06 00:00:00-04:00,314.19166786693273,326.73751350712405,313.9435303847158,324.8218994140625,25645500,0.0,0.0,2023-10-06 00:00:00-04:00
2023-10-09 00:00:00-04:00,322.33055804918456,327.8391975025295,320.77224754277427,327.36279296875,19891200,0.0,0.0,2023-10-09 00:00:00-04:00
2023-10-10 00:00:00-04:00,328.49428095238494,328.63325246691477,325.22881384353616,325.9434509277344,20557100,0.0,0.0,2023-10-10 00:00:00-04:00
2023-10-11 00:00:00-04:00,328.7424437403516,330.3404648295005,326.68788846890175,329.9434509277344,20063200,0.0,0.0,2023-10-11 00:00:00-04:00
2023-10-12 00:00:00-04:00,328.1072092853089,331.1444093855144,326.27098601539205,328.69281005859375,19313100,0.0,0.0,2023-10-12 00:00:00-04:00
2023-10-13 00:00:00-04:00,329.903742111262,331.34292129868646,323.92857230030273,325.28839111328125,21072400,0.0,0.0,2023-10-13 00:00:00-04:00
2023-10-16 00:00:00-04:00,328.5836536179132,333.63575959240177,328.13702430803954,330.1618347167969,22158000,0.0,0.0,2023-10-16 00:00:00-04:00
2023-10-17 00:00:00-04:00,327.134521116799,330.9756844210626,324.9707695832157,329.58612060546875,18338500,0.0,0.0,2023-10-17 00:00:00-04:00
2023-10-18 00:00:00-04:00,330.0128776495507,333.08978812806225,325.8540915096359,327.6506042480469,23153600,0.0,0.0,2023-10-18 00:00:00-04:00
2023-10-19 00:00:00-04:00,329.6754265828691,334.3701982773264,328.4446744618753,328.85162353515625,25052100,0.0,0.0,2023-10-19 00:00:00-04:00
2023-10-20 00:00:00-04:00,329.2486316275631,329.4471537101373,323.02535508266214,324.23626708984375,25012600,0.0,0.0,2023-10-20 00:00:00-04:00
2023-10-23 00:00:00-04:00,323.04522338424306,330.2511454898498,321.9732827993013,326.8665466308594,24374700,0.0,0.0,2023-10-23 00:00:00-04:00
2023-10-24 00:00:00-04:00,328.83175737255755,329.3677427796377,325.1593410549649,328.0675048828125,31153600,0.0,0.0,2023-10-24 00:00:00-04:00
2023-10-25 00:00:00-04:00,342.4495563679796,343.62078827319493,335.10469314941287,338.1319885253906,55053800,0.0,0.0,2023-10-25 00:00:00-04:00
2023-10-26 00:00:00-04:00,338.00292320069326,339.08479886651975,324.50423962992227,325.4471740722656,37828500,0.0,0.0,2023-10-26 00:00:00-04:00
2023-10-27 00:00:00-04:00,327.96825083738605,334.21139808780646,325.9533757848623,327.3528747558594,29856500,0.0,0.0,2023-10-27 00:00:00-04:00
2023-10-30 00:00:00-04:00,330.9260284377432,336.921037638267,329.3577828102495,334.7969665527344,22828100,0.0,0.0,2023-10-30 00:00:00-04:00
2023-10-31 00:00:00-04:00,336.3255108784327,336.47438729264275,332.19650001311294,335.59100341796875,20265300,0.0,0.0,2023-10-31 00:00:00-04:00
2023-11-01 00:00:00-04:00,337.25854792853954,344.8317087124147,337.1195763995562,343.49176025390625,28158800,0.0,0.0,2023-11-01 00:00:00-04:00
